Filos Presentes
Pseudomonadota
Actinomycetota
Chloroflexota
Bacillota
Cyanobacteriota
Candidatus Melainabacteria
Candidatus Margulisbacteria
Deinococcota
Armatimonadota
Mycoplasmatota
Thermomicrobiota
Candidatus Kaiserbacteria
Candidatus Nomurabacteria
Candidatus Yanofskybacteria
Candidatus Azambacteria
Candidatus Falkowbacteria
Candidatus Magasanikbacteria
Candidatus Nealsonbacteria
Candidatus Uhrbacteria
Candidatus Giovannonibacteria
Candidatus Moranbacteria
Candidatus Zambryskibacteria
Candidatus Staskawiczbacteria
Candidatus Wolfebacteria
Candidatus Harrisonbacteria
Candidatus Taylorbacteria
Candidatus Buchananbacteria
Candidatus Portnoybacteria
Candidatus Adlerbacteria
Candidatus Sungbacteria
Candidatus Jorgensenbacteria
Candidatus Liptonbacteria
Candidatus Tagabacteria
Candidatus Ryanbacteria
Candidatus Wildermuthbacteria
Candidatus Komeilibacteria
Candidatus Kuenenbacteria
Candidatus Lloydbacteria
Candidatus Kerfeldbacteria
Candidatus Terrybacteria
Candidatus Yonathbacteria
Candidatus Niyogibacteria
Candidatus Campbellbacteria
Candidatus Colwellbacteria
Candidatus Vogelbacteria
Candidatus Spechtbacteria
Candidatus Brennerbacteria
Candidatus Andersenbacteria
Candidatus Jacksonbacteria
Candidatus Parcubacteria
Candidatus Veblenbacteria
Candidatus Woesebacteria
Candidatus Gottesmanbacteria
Candidatus Roizmanbacteria
Candidatus Levybacteria
Candidatus Daviesbacteria
Candidatus Curtissbacteria
Candidatus Shapirobacteria
Candidatus Beckwithbacteria
Candidatus Amesbacteria
Candidatus Chisholmbacteria
Candidatus Collierbacteria
Candidatus Woykebacteria
Candidatus Pacebacteria
Candidatus Blackburnbacteria
Candidatus Microgenomates
Candidatus Gracilibacteria
candidate division NC10
Candidatus Rokubacteria
Candidatus Handelsmanbacteria
Candidatus Schekmanbacteria
Candidatus Aminicenantes
Candidatus Glassbacteria
candidate division WWE3
Candidatus Peregrinibacteria
Candidatus Doudnabacteria
Candidatus Berkelbacteria
Candidatus Gribaldobacteria
Candidatus Saccharibacteria
Candidatus Eisenbacteria
Candidatus Desantisbacteria
Candidatus Edwardsbacteria
Candidatus Lindowbacteria
Candidatus Ratteibacteria
Candidatus Dadabacteria
Candidatus Firestonebacteria
Candidatus Raymondbacteria
Candidatus Riflebacteria
Candidatus Wallbacteria
candidate division CPR1
Candidatus Coatesbacteria
Candidatus Bipolaricaulota
Candidatus Blackallbacteria
candidate division CPR2
Candidatus Fraserbacteria
Candidatus Fischerbacteria
Candidatus Sumerlaeota
candidate division WOR-3
Candidatus Wirthbacteria
Candidatus Abawacabacteria
Candidatus Absconditabacteria
candidate division CPR3
Candidatus Delongbacteria
Candidatus Calescamantes
Planctomycetota
Candidatus Omnitrophica
Verrucomicrobiota
Lentisphaerota
Chlamydiota
Kiritimatiellota
Thermodesulfobacteriota
Nitrospirota
Campylobacterota
Bacteroidota
Ignavibacteriota
Chlorobiota
Balneolota
Gemmatimonadota
candidate division Zixibacteria
Candidatus Marinimicrobia
Candidatus Hydrogenedentes
Fibrobacterota
Candidatus Cloacimonetes
Elusimicrobiota
Acidobacteriota
Myxococcota
Nitrospinota
Candidatus Tectomicrobia
Spirochaetota
Bdellovibrionota
Synergistota
Caldisericota
Fusobacteriota
Thermotogota
Atribacterota
Chrysiogenota
Aquificota
Calditrichota
Deferribacterota
Dictyoglomota
Coprothermobacterota
Nitrososphaerota
Candidatus Bathyarchaeota
Thermoproteota
Candidatus Korarchaeota
Euryarchaeota
Candidatus Woesearchaeota
Nanoarchaeota
Candidatus Micrarchaeota
Candidatus Diapherotrites
Candidatus Altiarchaeota
Candidatus Aenigmarchaeota
Candidatus Huberarchaea
Candidatus Nanohaloarchaeota
Candidatus Thermoplasmatota
Candidatus Heimdallarchaeota
Candidatus Lokiarchaeota
Candidatus Odinarchaeota
Candidatus Thorarchaeota
